Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,nbh_name
1404190000,565000,107.89,5237,Decker,7357,3,9,3,0,3,0,R3,N,DK,G,18,1905,Mattapan
2007230000,564000,442.7,1274,Colonial,2117,2,3,1,1,1,1,R1,Y,CL,G,7,1940,West Roxbury
600912000,563000,464.52,1212,Colonial,1818,2,3,1,0,1,0,R1,Y,CL,G,6,1888,South Boston
2010478000,563000,342.04,1646,Victorian,2989,2,3,2,0,1,0,R1,Y,VT,M,8,1890,West Roxbury
106714000,561000,210.11,2910,Row_Middle,3880,3,6,3,0,3,0,R3,Y,RM,M,15,1900,East Boston
2010616000,560000,382.51,1091,Colonial,2230,1.5,3,1,0,1,1,R1,N,CL,G,6,1930,West Roxbury
2002223000,560000,257.35,2176,Colonial,3464,2,4,1,1,1,1,R1,Y,CL,G,8,1920,West Roxbury
202078000,560000,253.85,2206,Colonial,3010,3,2,1,1,1,0,R1,Y,CL,F,11,1900,Charlestown
1703524000,560000,204.23,2557,Colonial,3951,2.5,3,1,1,1,0,R1,Y,CL,G,7,1900,Dorchester
102672000,560000,189.51,2955,Decker,4413,3,8,3,0,3,0,R3,N,DK,F,14,1880,East Boston
1503045000,560000,185.19,3024,Decker,4464,3,6,3,0,3,0,R3,N,DK,F,15,1910,Dorchester
1501607000,560000,167.26,3348,Decker,5220,3,6,3,0,3,0,R3,N,DK,F,15,1908,Dorchester
1700350000,560000,151.76,3690,Decker,5176,3,9,3,0,3,0,R3,N,DK,H,15,1910,Dorchester
1604891000,559900,162.43,3447,Decker,4968,3,6,3,0,3,0,R3,N,DK,F,15,1920,Dorchester
1500833000,559000,168.78,3312,Decker,5200,3,9,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
2004020000,558000,385.36,1448,Colonial,2345,2,3,1,0,1,1,R1,Y,CL,H,6,1920,West Roxbury
1601383000,558000,170.02,3282,Decker,5096,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1603690000,557000,216.39,2574,Two_Fam_Stack,4122,2,5,2,0,2,0,R2,Y,TF,H,13,1926,Dorchester
1702995000,557000,166.27,3504,Conventional,6238,2,6,2,0,2,0,R2,N,CV,H,14,1929,Dorchester
1301820000,555750,163.65,3396,Decker,5407,3,6,3,0,3,0,R3,Y,DK,F,15,1905,Dorchester
2006156000,555000,402.17,1380,Colonial,2532,2,3,1,1,1,1,R1,Y,CL,G,6,1925,West Roxbury
603511000,555000,366.58,1514,Semi_Det,2912,3,3,2,0,2,0,R2,Y,SD,G,9,1890,South Boston
2004062000,555000,356.23,1558,Colonial,2810,2,3,1,1,1,1,R1,Y,CL,H,7,1910,West Roxbury
1605107000,555000,282.01,1968,Conventional,3275,2,3,2,0,2,0,R2,Y,CV,G,11,1932,Dorchester
1701019010,555000,234.97,2362,Colonial,4066,2,4,3,2,1,0,R1,N,CL,G,7,2000,Dorchester
1800083000,555000,162.57,3414,Decker,5224,3,6,3,0,3,0,R3,N,DK,F,15,1905,Mattapan
1500386000,555000,131.49,4221,Decker,6310,3,9,3,0,3,0,R3,Y,DK,F,18,1905,Dorchester
1404036000,555000,104.99,5286,Decker,7738,3,9,3,0,3,0,R3,Y,DK,F,18,1905,Mattapan
1601654000,554600,176.51,3226,Conventional,4966,2.5,5,3,0,3,0,R3,Y,CV,G,14,1987,Dorchester
1702340000,553750,127.83,4332,Decker,6810,3,9,3,0,3,0,R3,Y,DK,F,18,1905,Dorchester
1303142000,553500,224.36,2467,Colonial,4354,2,5,1,1,1,0,R1,N,CL,G,10,1910,Dorchester
1701710000,552500,134.62,4104,Decker,5994,3,9,3,0,3,0,R3,N,DK,F,15,1920,Dorchester
1903622000,551000,412.12,1337,Colonial,2318,2,3,2,0,1,0,R1,Y,CL,G,7,1880,Roslindale
1805062000,550000,369.13,1490,Colonial,2544,2,3,1,0,1,0,R1,Y,CL,L,7,1915,Roslindale
1804578000,550000,340.14,1617,Colonial,2772,2,3,1,1,1,1,R1,Y,CL,G,6,1900,Roslindale
202068000,550000,258.58,2127,Colonial,3604,2.5,3,1,1,1,0,R1,Y,CL,G,6,1838,Charlestown
106870000,550000,249.43,2205,Decker,3297,3,5,3,0,3,0,R3,N,DK,F,11,1918,East Boston
2001339000,550000,230.7,2384,Two_Fam_Stack,4082,2,5,2,0,2,0,R2,Y,TF,H,10,1920,Roslindale
1302765000,550000,226.34,2430,Row_End,3628,3,4,3,0,3,0,R3,N,RE,F,10,1890,Dorchester
2000286000,550000,212.11,2593,Conventional,4521,2,5,3,0,3,0,R3,N,CV,G,13,1920,Roslindale
1903599000,550000,206.46,2664,Conventional,4798,2,5,2,0,2,0,R2,Y,CV,G,11,1884,Roslindale
102951000,550000,203.03,2517,Conventional,3976,2,4,2,0,2,0,R2,Y,CV,G,12,1880,East Boston
1902981000,550000,201.76,2726,Two_Fam_Stack,4081,2,5,2,2,2,0,R2,Y,TF,H,11,1925,Roslindale
2001535000,550000,201.61,2728,Two_Fam_Stack,4435,2,5,2,0,2,0,R2,N,TF,G,11,1899,Roslindale
2004654000,550000,190.51,2887,Conventional,4678,2.5,4,3,0,3,0,R3,N,CV,G,12,1920,Roslindale
1903217000,550000,171.82,3201,Decker,5127,3,6,3,0,3,0,R3,Y,DK,F,15,1925,Roslindale
1600361000,550000,165.61,3321,Decker,5037,3,9,3,0,3,0,R3,N,DK,F,18,1910,Dorchester
1601706000,550000,162.39,3387,Decker,4968,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1302862000,550000,161.96,3396,Decker,5312,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1501305000,550000,159.14,3456,Decker,5464,3,9,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
1502569000,550000,156.43,3516,Decker,4944,3,6,3,0,3,0,R3,N,DK,F,12,1905,Dorchester
1403895000,550000,148.77,3697,Decker,5774,3,12,4,0,4,0,R3,N,DK,F,17,1905,Mattapan
1301529000,550000,140.38,3918,Conventional,6130,2.5,6,3,0,2,1,R2,N,CV,G,13,1886,Dorchester
1600858000,550000,140.09,3926,Conventional,6183,2.5,6,2,0,2,0,R2,N,CV,G,15,1900,Dorchester
1301888000,550000,138.68,3966,Conventional,6073,2.5,5,3,0,3,0,R3,Y,CV,G,14,1890,Dorchester
1800872000,550000,133.43,4122,Decker,6192,3,9,3,0,3,0,R3,N,DK,F,18,1905,Mattapan
601653000,549900,589.39,948,Semi_Det,1542,2,3,1,1,1,0,R1,N,SD,G,6,1890,South Boston
103786000,549900,298.05,1845,Row_Middle,2858,3,3,3,0,3,0,R3,Y,RM,F,9,1900,East Boston
103557000,549900,160.37,3429,Decker,4968,3,6,3,0,3,0,R3,Y,DK,F,17,1900,East Boston
2009834003,549000,276.16,1488,Colonial,2448,2,3,1,1,1,1,R1,Y,CL,G,6,1903,West Roxbury
102737000,549000,254.17,2160,Row_Middle,3840,3,7,3,1,2,0,R2,Y,RM,F,9,1880,East Boston
2003090000,549000,251.37,2184,Two_Fam_Stack,3494,2,4,2,0,2,0,R2,N,TF,H,10,1929,West Roxbury
101555000,549000,232.63,2360,Other,2459,2,5,2,0,2,1,R2,N,OH,G,10,1960,East Boston
1701698000,549000,164.42,3339,Decker,5243,3,6,3,0,3,0,R3,N,DK,F,15,1925,Dorchester
1402477000,547500,130.17,4206,Decker,6064,3,10,3,0,3,0,R3,N,DK,F,16,1905,Dorchester
1400902000,546500,127.3,4293,Decker,7611,3,6,4,0,3,0,R3,N,DK,F,15,1905,Dorchester
603388000,545000,573.68,950,Colonial,1425,2,2,1,0,1,0,R1,Y,CL,G,6,1905,South Boston
1604558000,545000,388.18,1404,Colonial,2318,2,4,1,1,1,1,R1,Y,CL,G,7,1920,Dorchester
2007010006,545000,378.47,1440,Colonial,2568,2,3,1,2,1,1,R1,Y,CL,G,7,1953,West Roxbury
2006713000,545000,376.9,1446,Colonial,2338,2,3,1,1,1,1,R1,Y,CL,G,7,1930,West Roxbury
2009054000,545000,371,1210,Other,2718,1,3,1,0,1,1,R1,Y,OH,G,6,1920,West Roxbury
2000989000,545000,276.51,2030,Colonial,3678,2,4,1,1,1,0,R1,Y,CL,G,8,1900,Roslindale
2000431000,545000,249.54,2184,Two_Fam_Stack,3460,2,4,2,0,2,0,R2,N,TF,H,12,1927,Roslindale
1402182000,545000,163.03,3343,Conventional,5461,2.5,8,3,0,3,0,R3,N,CV,G,14,1890,Dorchester
600648000,544000,339.15,1604,Semi_Det,2486,2.5,3,2,1,1,1,R1,Y,SD,G,7,1890,South Boston
1702142000,542500,159.75,3396,Decker,5312,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
201361000,540000,484.74,1114,Row_Middle,1228,3,2,1,1,1,0,R1,Y,RM,M,5,1870,Charlestown
1905034000,540000,395.89,1364,Colonial,2094,2,2,1,1,1,1,R1,Y,CL,L,6,1913,Jamaica Plain
1804720000,540000,344.39,1350,Colonial,2438,2,3,1,0,1,0,R1,N,CL,G,7,1920,Roslindale
1703669000,540000,244.68,2251,Conventional,3996,2,6,2,0,2,0,R2,N,CV,G,12,1920,Dorchester
1904372000,540000,240.43,1997,Conventional,3922,2,4,2,1,2,0,R2,N,CV,G,9,1910,Jamaica Plain
1811615000,540000,229.1,2357,Colonial,4334,2,6,2,1,1,1,R1,Y,CL,G,11,1900,Hyde Park
1502952000,540000,172.25,3135,Decker,4504,3,6,3,0,3,0,R3,N,DK,F,15,1900,Dorchester
1703445000,540000,169.28,3579,Conventional,5846,2.5,5,3,0,2,0,R2,N,CV,G,13,1925,Mattapan
1402581000,540000,168.86,2877,Conventional,5371,2,7,2,0,2,0,R2,N,CV,G,12,1905,Dorchester
1501090000,540000,158.59,3405,Decker,5413,3,6,3,0,3,0,R3,N,DK,F,15,1910,Dorchester
2006883000,539900,304,1776,Colonial,2704,2,3,1,1,1,1,R1,Y,CL,G,8,1924,West Roxbury
2006580001,539000,407.41,1323,Colonial,2061,2,3,1,1,1,1,R1,Y,CL,G,6,1960,West Roxbury
1704736000,539000,232.93,2314,Colonial,4170,2,4,2,1,1,1,R1,Y,CL,G,7,1900,Dorchester
2008184000,539000,230.34,2340,Two_Fam_Stack,3758,2,4,2,0,2,0,R2,Y,TF,H,11,1910,West Roxbury
2006107000,538000,349.35,1540,Colonial,2558,2,3,1,0,1,1,R1,Y,CL,L,7,1926,West Roxbury
201595000,536000,515.38,1040,Row_End,1600,2,2,1,0,1,0,R1,N,RE,F,5,1850,Charlestown
1601209000,536000,153.93,3482,Conventional,5675,2.5,5,2,2,2,0,R2,N,CV,H,14,1910,Dorchester
2010344020,535000,308.36,1735,Colonial,2897,2,3,3,1,1,1,R1,Y,CL,G,7,2001,West Roxbury
1811150020,535000,283.97,1884,Colonial,3168,2,3,2,1,1,1,R1,Y,CL,G,7,2006,Hyde Park
2001082030,535000,232.31,1990,Colonial,3176,2,4,3,0,2,0,R1,N,CL,G,7,1888,Roslindale
2004902000,535000,226.79,2359,Conventional,4032,2,5,2,0,2,0,R2,Y,CV,G,10,1905,Roslindale
100422000,535000,225.55,2372,Two_Fam_Stack,3884,2,4,2,0,2,0,R2,N,TF,F,11,1905,East Boston
1810783000,535000,195.18,2741,Conventional,4240,2.5,6,3,1,1,0,R1,Y,CV,M,15,1900,Hyde Park
1809675000,535000,182.28,2446,Two_Fam_Stack,3867,2,4,2,2,2,0,R2,Y,TF,G,10,1910,Hyde Park
1804295000,535000,176.68,3028,Conventional,5061,2,6,2,0,2,0,R2,N,CV,H,12,1900,Hyde Park
106686000,535000,157.31,3401,Decker,4924,3,9,4,3,3,0,R3,N,DK,F,18,1910,East Boston
1500857000,535000,156.2,3425,Conventional,5306,2.5,7,3,0,3,0,R3,N,CV,G,13,1900,Dorchester
1806343000,534000,188.16,2838,Conventional,4666,2.5,5,3,0,3,0,R3,N,CV,G,13,1900,Roslindale
702591000,530370,430.5,1812,Semi_Det,2539,3,5,2,0,2,0,R2,N,SD,M,10,1890,South Boston
200997000,530000,438.74,1208,Row_End,1882,2,2,1,1,1,0,R1,N,RE,F,6,1835,Charlestown
2006879000,530000,356.9,1485,Colonial,2612,2,3,1,1,1,1,R1,Y,CL,G,6,1959,West Roxbury
2004831000,530000,324.36,1634,Colonial,2855,2,3,1,0,1,0,R1,N,CL,G,7,1919,Roslindale
2003091000,530000,243.34,2178,Two_Fam_Stack,3485,2,4,2,0,2,0,R2,N,TF,H,10,1929,West Roxbury
102531000,530000,229.04,2314,Row_Middle,3132,3,6,3,0,3,0,R3,Y,RM,F,12,1910,East Boston
2001083000,530000,221.2,2396,Two_Fam_Stack,3930,2,4,2,0,2,0,R2,N,TF,G,10,1920,Roslindale
1301021000,530000,158.26,3349,Conventional,5281,2.5,6,3,0,2,2,R2,N,CV,G,12,1905,Dorchester
1400385000,530000,152.83,3468,Row_End,5106,3,8,3,0,3,0,R3,N,RE,F,14,1890,Dorchester
1400701000,530000,148.46,3570,Two_Fam_Stack,5671,2,6,2,0,2,0,R2,Y,TF,H,12,1915,Dorchester
1404716000,530000,94.09,5671,Decker,6454,3,6,3,0,3,0,R3,N,DK,F,15,1905,Mattapan
2002697000,529000,333.54,1586,Colonial,2346,2,3,1,1,1,0,R1,Y,CL,G,6,1910,West Roxbury
1809732000,529000,272.68,1940,Colonial,3120,2,2,1,1,1,0,R1,N,CL,G,8,1910,Hyde Park
1810168000,529000,232.02,2280,Two_Fam_Stack,3600,2,6,2,0,2,0,R2,N,TF,H,12,1948,Hyde Park
1903523000,528000,192.91,2737,Other,5104,1.5,4,2,0,2,1,R2,Y,OH,G,8,1850,Roslindale
1103521000,527000,495.3,1064,Colonial,1828,2,2,1,1,1,0,R1,Y,CL,G,4,1894,Jamaica Plain
1900583000,525000,558.51,768,Other,1445,1,2,1,0,1,0,R1,Y,OH,G,4,1925,Jamaica Plain
1103036000,525000,468.75,1120,Row_End,1804,2,2,1,0,1,0,R1,Y,RE,H,5,1905,Jamaica Plain
2007868000,525000,331.44,1464,Colonial,2302,2,3,1,0,1,0,R1,N,CL,G,6,1935,West Roxbury
700505000,525000,295.61,1776,Semi_Det,2320,3,5,3,0,3,0,R3,N,SD,F,11,1900,South Boston
2000953000,525000,278.07,1888,Colonial,3351,2,5,1,0,1,1,R1,Y,CL,L,8,1920,Roslindale
1809580000,525000,266.77,1968,Two_Fam_Stack,3016,2,6,2,0,2,0,R2,N,TF,H,11,1950,Hyde Park
1601026000,525000,208.75,2515,Conventional,4222,2,5,2,0,2,0,R2,Y,CV,G,12,1905,Dorchester
2003026000,525000,207.18,2534,Two_Fam_Stack,4406,2,4,2,0,2,0,R2,Y,TF,H,12,1920,West Roxbury
1403922000,525000,176.47,2975,Conventional,5089,2.5,5,3,0,1,0,R2,N,CV,H,12,1905,Mattapan
1700907000,525000,161.94,3242,Colonial,5420,2.5,4,3,1,2,3,R1,Y,CL,H,9,1905,Dorchester
1300317000,525000,155.69,3372,Row_End,4841,3,7,5,0,3,1,R3,N,RE,F,11,1890,Roxbury
1400988010,525000,151.38,3471,Semi_Det,5826,2.5,7,3,0,3,0,R3,N,SD,G,13,1910,Dorchester
1803243000,525000,142.97,3672,Decker,5313,3,9,3,0,3,0,R3,N,DK,F,17,1900,Mattapan
1400790000,525000,127.27,4125,Semi_Det,5941,3,8,4,0,3,0,R3,N,SD,F,14,1890,Dorchester
2008537000,524900,351.81,1066,Cape,2348,1,2,1,0,1,1,R1,Y,CP,G,5,1924,West Roxbury
1302136000,524000,262.26,2152,Colonial,3234,2,4,1,0,1,0,R1,N,CL,H,8,1890,Dorchester
1809570000,522500,284.9,1834,Colonial,3433,2,3,1,1,1,0,R1,Y,CL,H,6,1900,Hyde Park
2005355000,521000,323.4,1611,Colonial,2898,2,5,1,0,1,0,R1,Y,CL,G,8,1915,Roslindale
600897000,520000,561.56,926,Row_End,926,2,2,1,1,1,1,R1,Y,RE,F,5,1850,South Boston
1701188000,520000,197.64,2631,Colonial,4462,2,6,1,1,1,1,R1,Y,CL,L,9,1920,Dorchester
1702934000,520000,151.12,3441,Decker,5337,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1807954000,520000,148.4,3504,Decker,5194,3,9,3,0,3,0,R3,N,DK,F,15,1905,Hyde Park
1401277000,520000,140.69,3696,Decker,5148,3,10,3,0,3,0,R3,N,DK,F,19,1895,Dorchester
1403874000,520000,126.15,4122,Other,6472,2.5,12,2,2,2,0,R2,Y,OH,L,18,1910,Dorchester
105186010,519500,343.58,1344,Semi_Det,2304,2,3,3,1,1,0,R1,N,SD,G,7,2003,East Boston
2008568000,519500,260.92,1959,Colonial,3064,2.5,4,1,1,1,1,R1,Y,CL,G,7,1887,West Roxbury
100850000,519500,151.37,3450,Decker,4897,3,9,3,0,3,0,R3,Y,DK,F,18,1900,East Boston
1604457000,519000,263.72,1968,Two_Fam_Stack,3466,2,3,2,0,2,0,R2,Y,TF,G,8,1920,Dorchester
1404231000,518000,147.75,3506,Conventional,6206,2.5,7,3,0,3,0,R3,N,CV,G,15,1885,Dorchester
2001957000,517500,362.39,1428,Colonial,2548,2,2,1,1,1,0,R1,Y,CL,G,6,1953,West Roxbury
1804605000,516000,346.77,1488,Colonial,2394,2,3,1,1,1,0,R1,Y,CL,G,7,1920,Roslindale
2006956000,516000,277.72,1858,Colonial,3021,2,4,1,1,1,0,R1,Y,CL,G,7,1930,West Roxbury
2004948010,515000,332.26,1550,Colonial,2589,2,3,1,2,1,1,R1,Y,CL,G,7,1991,Roslindale
102746000,515000,276.88,1860,Victorian,2484,3,2,1,0,1,0,R1,Y,VT,M,6,1870,East Boston
2009109000,515000,270.48,1904,Other,3556,1.5,3,1,1,1,1,R1,Y,OH,G,8,1930,West Roxbury
1301324000,515000,166.99,3084,Decker,4436,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1500907000,515000,166.67,2760,Conventional,4934,2,6,2,0,2,0,R2,N,CV,H,13,1920,Dorchester
1704245000,515000,156.25,3296,Conventional,5740,2,5,2,0,2,0,R2,Y,CV,G,14,1929,Dorchester
1404592000,515000,126.23,4080,Decker,6019,3,8,3,0,3,0,R3,Y,DK,F,17,1920,Dorchester
1601040000,513000,148.18,3462,Decker,5231,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1604993000,512500,334.53,1532,Colonial,2532,2,3,1,1,1,1,R1,Y,CL,H,7,1925,Dorchester
2000025000,512500,234.45,2186,Conventional,3771,2,4,2,0,2,0,R2,N,CV,G,9,1905,Roslindale
2002858003,512500,214.26,2392,Two_Fam_Stack,3780,2,5,2,0,2,0,R2,Y,TF,H,11,1950,West Roxbury
2001844000,511000,393.68,1298,Other,2628,1,2,1,1,1,1,R1,Y,OH,H,5,1920,West Roxbury
2006781000,511000,255.24,2002,Conventional,2758,2,4,2,1,1,1,R1,Y,CV,G,8,1920,West Roxbury
2007782002,510000,474.42,1075,Cape,2363,1,3,1,1,1,1,R1,Y,CP,G,8,1955,West Roxbury
2003513000,510000,442.71,1152,Colonial,1756,2,3,1,0,1,0,R1,Y,CL,G,6,1935,West Roxbury
1904123001,510000,337.75,1510,Cape,3666,1.5,3,1,1,1,1,R1,Y,CP,G,6,1960,Roslindale
2000195000,510000,301.42,1416,Colonial,2295,2,4,1,1,1,0,R1,Y,CL,L,7,1890,Roslindale
2004469000,510000,289.77,1760,Colonial,2799,2,4,1,0,1,1,R1,Y,CL,H,9,1935,West Roxbury
1811613000,510000,233.94,1822,Colonial,3154,2,4,2,1,1,1,R1,Y,CL,G,7,1880,Hyde Park
1812799000,510000,221.84,0,Colonial,0,0,0,0,0,0,0,RL,N,CL,U,0,0,Hyde Park
101501000,510000,191.73,2660,Two_Fam_Stack,4221,2,6,2,0,2,0,R2,N,TF,H,12,1915,East Boston
1701353000,510000,166.83,3057,Decker,4562,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1404571000,510000,164.25,3105,Decker,4812,3,9,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1404553000,510000,148.04,3080,Conventional,5419,2,6,2,0,2,0,R2,N,CV,G,14,1900,Dorchester
1803056000,510000,144.56,3528,Conventional,4795,3,8,3,0,3,0,R3,N,CV,L,17,1905,Mattapan
1807718000,510000,142.02,3591,Conventional,5186,3,6,3,0,3,0,R3,N,CV,M,15,1920,Hyde Park
1300744000,510000,136.33,3741,Semi_Det,5528,3,9,3,0,3,0,R3,N,SD,F,17,1920,Dorchester
1502221000,510000,116.44,4380,Conventional,4870,2.5,9,2,1,2,0,R2,N,CV,H,14,1998,Dorchester
2008022000,509500,387.16,1316,Colonial,2040,2,3,1,0,1,1,R1,Y,CL,G,7,1930,West Roxbury
700375000,508000,381.1,1351,Conventional,1872,1.5,3,1,0,1,0,R1,N,CV,G,5,1900,South Boston
1501055000,507500,138.21,3672,Decker,5448,3,9,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
2008715000,507000,385.84,1314,Cape,2509,1.5,3,1,1,1,1,R1,Y,CP,G,6,1925,West Roxbury
2001253000,507000,250.49,2024,Conventional,3474,2,4,2,0,2,0,R2,Y,CV,G,10,1910,Roslindale
1101602000,507000,214.83,2360,Conventional,3652,2,5,2,0,2,0,R2,Y,CV,M,12,1900,Jamaica Plain
700912000,505000,355.13,1422,Semi_Det,2301,2,3,1,1,1,0,R1,N,SD,M,6,1890,South Boston
2010188000,505000,336.67,1528,Cape,3250,1.5,3,2,0,1,1,R1,Y,CP,G,6,1960,West Roxbury
1811077000,505000,281.81,1792,Cape,3236,1.5,4,2,0,1,1,R1,Y,CP,G,7,1950,Hyde Park
103747000,505000,263.3,1918,Row_End,2724,3,6,2,1,2,0,R2,Y,RE,G,15,1910,East Boston
1601627000,505000,179.84,2808,Conventional,5142,2,6,2,0,2,0,R2,N,CV,G,12,1900,Dorchester
1805147000,505000,154.72,3264,Conventional,5764,2,5,2,0,2,0,R2,Y,CV,H,13,1906,Roslindale
1807953000,505000,130.09,3882,Decker,5698,3,9,3,0,3,0,R3,N,DK,F,15,1905,Hyde Park
1404055000,505000,105.94,4767,Decker,6795,3,9,3,0,3,0,R3,N,DK,F,18,1905,Mattapan
1602020009,504900,396.31,1274,Colonial,1922,2,3,1,1,1,1,R1,Y,CL,G,6,1958,Dorchester
602553002,504000,442.11,1120,Semi_Det,1680,2,2,1,0,1,0,R1,Y,SD,F,6,1920,South Boston
1602242003,504000,413.45,1219,Other,2531,1,3,2,0,1,1,R1,Y,OH,H,6,1959,Dorchester
701185000,503000,612.67,821,Conventional,1449,1.5,2,1,0,1,0,R1,Y,CV,G,5,1900,South Boston
1404714000,502800,147.97,3362,Conventional,5563,2.5,9,3,0,3,0,R3,N,CV,G,16,1925,Mattapan
2006336000,502500,475.85,1056,Other,2132,1,3,1,0,1,1,R1,N,OH,H,5,1955,West Roxbury
2000277000,501000,361.99,1384,Colonial,2379,2,3,1,1,1,0,R1,Y,CL,G,8,1919,Roslindale
1903727000,500000,327.87,1597,Colonial,2754,2,4,1,0,1,0,R1,Y,CL,G,6,1905,Roslindale
1904185000,500000,305.62,1636,Colonial,2758,2,3,2,1,1,0,R1,Y,CL,G,7,1910,Roslindale
601353000,500000,304.69,1641,Row_End,2510,3,3,1,1,1,0,R1,Y,RE,M,6,1890,South Boston
106796000,500000,279.17,1791,Row_Middle,2388,3,7,3,0,3,0,R3,Y,RM,F,14,1900,East Boston
2001299000,500000,225.33,2219,Colonial,4150,2,5,1,0,1,1,R1,Y,CL,H,9,1920,Roslindale
1601830000,500000,204.58,2922,Two_Fam_Stack,5260,2,4,2,0,2,0,R2,Y,TF,G,12,1930,Dorchester
106792000,500000,193.57,2583,Decker,3801,3,6,3,0,3,0,R3,N,DK,F,15,1900,East Boston
1811187000,500000,191.86,2606,Conventional,4440,2.5,3,3,0,2,0,R2,Y,CV,G,11,1920,Hyde Park
1903754000,500000,182.55,2300,Colonial,3741,2,3,1,1,1,0,R1,Y,CL,H,7,1901,Roslindale
1500745000,500000,176.55,3370,Conventional,6056,2,6,2,0,2,0,R2,N,CV,G,13,1920,Dorchester
1811158000,500000,161.5,3096,Two_Fam_Stack,5176,2,6,2,0,2,0,R2,N,TF,H,12,1920,Hyde Park
703796000,500000,159.8,3129,Conventional,5218,2.5,8,3,0,3,0,R3,N,CV,G,17,1907,Dorchester
1401767002,500000,144.59,3458,Row_Middle,4840,3,6,3,0,3,0,R3,N,RM,F,15,1900,Dorchester
105439000,500000,135.72,3290,Decker,4651,3,0,0,0,0,0,R4,Y,DK,U,0,1920,East Boston
1301299000,500000,101.58,4922,Colonial,8232,2.5,8,3,1,1,4,R1,N,CL,H,14,1910,Dorchester
2006417000,499900,329.31,1518,Colonial,2676,2,3,1,1,1,1,R1,Y,CL,G,7,1925,West Roxbury
1702334000,499900,166.25,3007,Conventional,4850,2.5,5,2,0,2,0,R2,N,CV,G,12,1900,Dorchester
1605260000,499500,180.46,2331,Conventional,3702,2,5,2,0,2,0,R2,Y,CV,G,11,1928,Dorchester
600834000,499000,330.03,1512,Conventional,2066,3,6,2,0,2,0,R1,Y,CV,F,12,1890,South Boston
1602444000,499000,271.2,1840,Colonial,3106,2,2,2,1,1,0,R1,N,CL,G,6,1920,Dorchester
1704267000,499000,151.81,3326,Conventional,5804,2,4,2,0,2,2,R2,N,CV,G,12,1928,Dorchester
1404532000,499000,125.25,3984,Decker,5825,3,8,3,0,3,0,R3,N,DK,F,15,1920,Dorchester
1404564000,499000,117.14,4248,Decker,6252,3,6,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1001929000,495000,372.46,1329,Colonial,2276,2,4,1,0,1,0,R1,N,CL,G,6,1910,Jamaica Plain
2001766001,495000,336.51,1471,Cape,2660,1.5,3,1,1,1,1,R1,N,CP,G,7,1951,West Roxbury
2000119000,495000,298.73,1618,Colonial,2855,2,3,1,0,1,0,R1,N,CL,G,6,1890,Roslindale
700622000,495000,253.46,1953,Row_Middle,2820,3,3,2,0,1,0,R1,Y,RM,F,6,1890,South Boston
1700862000,495000,206.42,2398,Colonial,4354,2,6,4,0,1,0,R1,Y,CL,G,9,1898,Dorchester
1701059000,495000,125.7,3938,Two_Fam_Stack,6486,2,6,2,0,2,0,R2,Y,TF,H,14,1900,Dorchester
1904976000,494750,321.68,1503,Colonial,2302,2,4,1,1,1,1,R1,Y,CL,L,8,1926,Jamaica Plain
1601666000,494500,216.22,2307,Conventional,4225,2,4,2,0,2,1,R2,N,CV,G,9,1915,Dorchester
1201855000,493500,154.75,3189,Semi_Det,4603,3,6,3,0,3,0,R3,N,SD,F,15,1905,Roxbury
1701172000,492000,109.77,4485,Decker,6876,3,9,3,0,3,0,R3,N,DK,F,18,1910,Dorchester
2008615000,491500,412.33,1192,Cape,2749,1,3,2,0,1,1,R1,Y,CP,G,8,1955,West Roxbury
2009484000,491000,285.47,1720,Colonial,3172,2,3,2,0,1,0,R1,Y,CL,H,7,1915,West Roxbury
1808246000,491000,209.83,2340,Two_Fam_Stack,3930,2,5,2,0,2,0,R2,Y,TF,G,11,1929,Hyde Park
2006298001,490000,324.93,1508,Cape,2998,1.5,3,2,0,1,1,R1,Y,CP,G,9,1962,West Roxbury
2010689042,490000,309.34,1584,Other,2106,1,3,2,0,1,0,R1,Y,OH,G,7,1950,West Roxbury
1904796000,490000,305.68,1603,Cape,2965,1.5,3,1,1,1,0,R1,N,CP,G,6,1959,Jamaica Plain
2010784004,490000,286.21,1712,Cape,3045,1.5,1,1,0,1,1,R1,Y,CP,G,8,1943,West Roxbury
2001056000,490000,277.15,1768,Colonial,3249,2,3,1,1,1,1,R1,N,CL,G,7,1900,Roslindale
