Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,nbh_name
1804617000,625000,272.09,2058,Colonial,3490,2,4,1,1,1,0,R1,Y,CL,G,8,1890,Roslindale
2008359010,625000,268.7,2326,Colonial,3940,2,4,2,0,1,2,R1,Y,CL,H,9,1900,West Roxbury
700931000,625000,258.48,2418,Conventional,3104,3,5,2,0,1,0,R1,Y,CV,M,12,1890,South Boston
1603914000,625000,242.25,2580,Two_Fam_Stack,4201,2,7,2,0,2,0,R2,N,TF,H,12,1900,Dorchester
1100174000,625000,230.03,2717,Colonial,3743,2,4,2,0,1,0,R1,Y,CL,G,9,1875,Roxbury
1301934000,625000,224.34,2786,Conventional,4634,2.5,6,2,0,2,0,R2,N,CV,G,13,1915,Dorchester
2002145000,625000,215.96,2831,Two_Fam_Stack,4808,2,5,2,0,2,0,R2,N,TF,H,12,1910,West Roxbury
1605191000,625000,187.41,3335,Conventional,5816,2,4,2,0,2,0,R2,Y,CV,G,12,1920,Dorchester
2001385000,625000,171.47,3645,Decker,5618,3,6,3,0,3,0,R3,N,DK,F,15,1900,Roslindale
802586000,625000,168.55,3708,Row_End,4958,3,8,3,0,3,0,R3,N,RE,F,14,1890,Roxbury
1301876000,625000,157,3981,Decker,6127,3,9,3,0,3,0,R3,Y,DK,F,18,1900,Dorchester
1402515000,625000,132.87,4704,Decker,6636,3,12,3,0,3,0,R3,N,DK,F,21,1905,Dorchester
2005599000,623000,346.5,1798,Colonial,3180,2,3,1,1,1,0,R1,Y,CL,G,6,1908,Roslindale
2001761000,622500,245.56,2535,Colonial,4523,2,3,2,1,1,0,R1,Y,CL,G,8,1899,West Roxbury
2002099000,620500,430.9,1440,Colonial,2520,2,3,1,1,1,1,R1,Y,CL,G,6,1938,West Roxbury
200757000,620000,607.84,1020,Cape,1800,1.5,2,2,0,1,0,R1,Y,CP,G,5,1965,Charlestown
201005000,620000,362.15,1658,Row_Middle,2232,3,3,1,0,1,0,R1,Y,RM,F,7,1880,Charlestown
2003641002,620000,350.88,1767,Colonial,2933,2,4,1,1,1,1,R1,Y,CL,G,7,1953,West Roxbury
2004822000,620000,287.97,2153,Conventional,4005,2,4,2,0,2,1,R2,N,CV,G,10,1899,Roslindale
1602983000,620000,182.09,3405,Decker,5338,3,9,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1600399000,620000,170.38,3639,Decker,5444,3,8,3,0,3,0,R3,N,DK,F,17,1905,Dorchester
1501614000,620000,157.4,3939,Decker,6227,3,11,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
1700789000,620000,157.32,3941,Decker,5963,3,9,3,0,3,0,R3,N,DK,F,15,1905,Dorchester
1602085000,619000,271.97,2276,Two_Fam_Stack,3754,2,4,2,0,2,0,R2,N,TF,H,10,1926,Dorchester
1602823000,618750,188.41,2104,Conventional,3996,2.5,5,3,0,3,0,R3,N,CV,G,13,1900,Dorchester
2006813000,616000,414.26,1487,Colonial,2360,2,3,1,1,1,1,R1,Y,CL,G,7,1950,West Roxbury
201043000,615000,677.31,908,Row_End,1005,2,2,2,0,1,1,R1,Y,RE,G,6,1920,Charlestown
603281000,615000,506.17,1215,Row_Middle,1636,3,2,2,1,2,0,R2,N,RM,F,6,1890,South Boston
1603643000,615000,220.35,2791,Conventional,5004,2,4,2,0,2,0,R2,N,CV,H,11,1910,Dorchester
1811683000,615000,219.02,0,Colonial,0,0,0,0,0,0,0,RL,N,CL,U,0,0,Hyde Park
1604023000,614000,232.58,2640,Two_Fam_Stack,4361,2,6,2,0,2,0,R2,N,TF,H,12,1935,Dorchester
2008401000,613000,281.97,2174,Colonial,3595,2,4,1,1,1,0,R1,Y,CL,M,9,1880,West Roxbury
1602229000,611500,192.66,3174,Colonial,4899,2.5,5,2,0,1,1,R1,Y,CL,H,9,1880,Dorchester
1704852000,611000,201.25,2558,Conventional,4031,2,6,2,0,2,0,R2,Y,CV,H,13,1900,Dorchester
101333000,611000,196.72,3106,Two_Fam_Stack,4693,2,7,2,0,2,0,R2,Y,TF,F,14,1910,East Boston
2007053000,610000,498.37,1224,Cape,2470,1.5,2,1,1,1,1,R1,Y,CP,G,5,1942,West Roxbury
200085000,610000,479.94,1271,Semi_Det,1888,3,2,2,1,1,2,R1,Y,SD,G,4,1875,Charlestown
2007310001,610000,322.75,1860,Colonial,3150,2,3,1,1,1,1,R1,Y,CL,L,8,1950,West Roxbury
2000024000,610000,296.4,2058,Conventional,3602,2,4,2,1,2,0,R2,N,CV,G,8,1910,Roslindale
1603641000,610000,272.08,2242,Two_Fam_Stack,3887,2,4,2,0,2,0,R2,Y,TF,H,10,1910,Dorchester
1602279000,610000,219.9,2774,Conventional,4912,2,4,2,0,2,0,R2,N,CV,H,11,1915,Dorchester
106325000,610000,189.38,3221,Decker,4728,3,8,3,0,3,0,R3,N,DK,F,17,1900,East Boston
2011675000,609000,227.75,2674,Other,4732,2,6,2,0,2,0,R2,Y,OH,G,10,1880,West Roxbury
1700724000,609000,211.9,2874,Victorian,5051,2,6,2,0,1,1,R1,Y,VT,L,11,1900,Dorchester
100270000,607000,212.76,2853,Decker,3804,3,8,3,0,3,0,R3,N,DK,F,14,1899,East Boston
2006542000,606000,242.69,2497,Semi_Det,4076,2.5,3,2,1,1,2,R1,Y,SD,H,7,1910,West Roxbury
2002106000,605500,372.84,1648,Colonial,2600,2,3,1,1,1,1,R1,Y,CL,G,6,1927,West Roxbury
200996000,605000,500.83,1224,Row_End,1680,3,4,1,0,1,0,R1,Y,RE,F,6,1880,Charlestown
1502108000,605000,193.85,3121,Conventional,5457,2.5,10,4,0,3,0,R3,Y,CV,G,18,1900,Dorchester
1704488000,605000,177.68,3405,Decker,5377,3,9,3,0,3,0,R3,N,DK,F,18,1900,Dorchester
1600090000,605000,176.54,3427,Decker,4604,3,6,3,0,3,0,R3,Y,DK,G,15,1905,Dorchester
105321000,605000,169.04,2892,Decker,4024,3,12,4,2,4,0,R3,N,DK,F,17,1900,East Boston
1601659000,605000,165.26,3617,Conventional,5846,2.5,7,3,0,3,0,R3,Y,CV,G,16,1907,Dorchester
602130000,603000,460.31,1310,Row_Middle,1965,2,4,1,0,1,0,R1,Y,RM,M,6,1900,South Boston
1700353000,601900,158.98,3786,Decker,6039,3,9,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
1001183000,600000,481.54,1246,Cape,2835,1,2,2,0,1,0,R1,N,CP,G,7,1926,Mission Hill
602986000,600000,415.51,1460,Semi_Det,2300,2,3,1,1,1,0,R1,N,SD,M,6,1890,South Boston
1103742000,600000,393.18,1526,Other,3285,1,3,1,0,1,1,R1,Y,OH,H,7,1932,Jamaica Plain
2004292000,600000,381.19,1574,Other,2564,2,3,1,1,1,1,R1,Y,OH,G,7,1938,West Roxbury
1302125000,600000,259.29,2311,Conventional,3930,2,6,2,0,2,1,R2,N,CV,G,10,1905,Dorchester
703196000,600000,240.96,2533,Conventional,4485,2,6,2,0,2,0,R2,Y,CV,G,13,1910,Dorchester
1904983000,600000,231.3,2210,Colonial,3740,2,3,1,1,1,1,R1,Y,CL,G,9,1915,Jamaica Plain
2004538000,600000,222.55,2656,Two_Fam_Stack,4278,2,4,2,0,2,0,R2,N,TF,H,11,1920,West Roxbury
105271000,600000,200.4,2994,Decker,4388,3,5,3,0,3,0,R3,N,DK,F,14,1900,East Boston
102639000,600000,193.42,3102,Semi_Det,4493,3,7,4,0,3,0,R3,N,SD,F,14,1910,East Boston
1500463000,600000,192.18,3122,Decker,4758,3,6,3,0,3,0,R3,N,DK,F,15,1925,Dorchester
106553000,600000,185.19,3240,Row_Middle,4698,3,5,3,0,3,0,R3,Y,RM,F,14,1900,East Boston
100058000,600000,164.34,3840,Semi_Det,5603,3,8,3,0,3,0,R3,N,SD,F,17,1910,East Boston
1603789000,600000,161.2,3722,Decker,5542,3,7,3,0,3,0,R3,N,DK,F,16,1905,Dorchester
103502000,600000,155.2,3866,Decker,4232,3,9,3,0,3,0,R3,Y,DK,F,18,1910,East Boston
1403784000,600000,153.14,3918,Conventional,4458,3,9,3,3,3,0,R3,N,CV,G,15,2007,Dorchester
1601043000,600000,135.04,4443,Decker,6372,3,9,3,0,3,0,R3,N,DK,F,18,1920,Dorchester
1903092000,600000,130.21,4608,Conventional,7772,2,5,4,0,3,0,R3,Y,CV,G,15,1900,Roslindale
103266000,600000,129.39,4609,Decker,4820,3,9,3,0,3,0,R3,N,DK,F,15,1900,East Boston
2006481000,599900,368.72,1627,Colonial,2638,2,4,1,1,1,1,R1,Y,CL,G,8,1950,West Roxbury
2004094000,599900,326.92,1835,Colonial,3527,2,3,1,1,1,1,R1,Y,CL,G,7,1930,West Roxbury
1812256050,599900,208.15,2882,Colonial,4823,2,4,2,1,1,1,R1,Y,CL,G,8,2008,Hyde Park
1702425000,599900,140.52,4269,Decker,6370,3,9,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
2008007000,599000,314.77,1903,Colonial,3216,2,3,1,2,1,0,R1,Y,CL,G,8,1934,West Roxbury
106281000,599000,248.96,2529,Decker,3372,3,3,3,0,3,0,R3,N,DK,F,9,1900,East Boston
1602228000,599000,203.05,3067,Colonial,5109,2.5,6,1,0,1,0,R1,Y,CL,G,11,1880,Dorchester
1301646000,599000,193.48,3096,Decker,4905,3,6,3,0,3,0,R3,N,DK,F,15,1920,Dorchester
2006611010,597400,353.49,1690,Colonial,3056,2,4,1,1,1,1,R1,Y,CL,G,8,1955,West Roxbury
1603590000,595000,281.19,2116,Two_Fam_Stack,3438,2,4,2,0,2,0,R2,N,TF,H,12,1928,Dorchester
2001556000,595000,232.79,2556,Colonial,4241,2,4,2,0,1,1,R1,N,CL,G,11,1899,Roslindale
