Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,Latitude,Longitude
501646000,4600000,0,3018,Row_End,4974,3,5,5,3,1,7,R1,N,RE,G,10,1890,42.35867,-71.06456
400444000,4300000,0,3981,Row_Middle,4212,4,5,3,1,1,4,R1,Y,RM,M,10,1890,42.34312,-71.07618
501474000,4274500,797.63,5439,Row_Middle,6436,4,6,5,1,2,4,R2,Y,RM,F,12,1900,42.35764,-71.06634
400455000,4200000,0,4146,Row_Middle,4404,4,4,3,0,1,1,R1,Y,RM,M,12,1860,42.34353,-71.07591
501584000,3900000,887.17,4396,Row_Middle,5570,4,4,2,2,1,5,R1,Y,RM,G,10,1809,42.357744,-71.067321
501533000,3877500,0,3849,Row_Middle,4748,4,4,3,1,1,2,R1,Y,RM,M,9,1900,42.35745,-71.06846
501644000,3810000,858.3,4449,Row_Middle,6108,3,5,3,1,2,0,R1,Y,RM,G,11,1890,42.3588,-71.06456
400265000,3699000,0,2702,Row_End,3564,3,3,3,1,1,3,R1,Y,RE,F,8,1890,42.343,-71.07495
400132000,3533000,0,2611,Row_Middle,3400,3,4,3,3,1,2,R1,Y,RM,M,9,1890,42.34483,-71.07319
502457000,3300000,0,2406,Row_Middle,3245,3,3,2,0,1,5,R1,N,RM,F,9,1890,42.35961,-71.07113
400129000,3299000,0,2611,Row_Middle,3394,3,4,4,1,1,1,R1,Y,RM,M,9,1900,42.34489,-71.07301
402848000,3220000,771.81,4172,Row_Middle,4648,4,5,4,0,2,2,R1,Y,RM,F,12,1860,42.34279,-71.0773
402491000,3185000,698.31,4561,Row_Middle,4869,4,5,3,1,2,1,R2,Y,RM,F,8,1860,42.34213,-71.08087
300131000,3150000,754.13,4177,Row_Middle,4688,4,5,3,1,2,5,R1,Y,RM,M,10,1880,42.36007,-71.06465
402732000,3100000,871.28,3558,Row_Middle,4017,4,4,2,1,2,1,R2,Y,RM,M,8,1860,42.3414,-71.07748
502529000,3100000,0,1540,Row_End,3564,2,3,2,0,1,0,R1,N,RE,M,5,1899,42.35684,-71.07189
305889000,3043000,854.06,3563,Row_Middle,4480,3.5,4,4,1,1,3,R1,Y,RM,G,8,1890,42.34331,-71.06895
502303000,2892750,0,2574,Row_Middle,2664,2,4,3,0,1,1,R1,N,RM,F,8,1890,42.356453,-71.070687
400735000,2800000,840.08,3348,Row_Middle,3728,4,5,3,1,2,0,R2,Y,RM,F,10,1865,42.34495,-71.07849
400258000,2795000,0,2447,Semi_Det,2600,4,3,2,1,2,0,R1,N,SD,M,10,1855,42.34382,-71.07275
501801000,2725000,0,2070,Row_End,2838,3.5,5,4,0,1,5,R1,N,RE,G,10,1830,42.35889,-71.07037
502380000,2700000,0,2576,Row_End,3170,4,3,3,1,1,2,R1,Y,RE,G,7,1890,42.35741,-71.07069
400366000,2540000,0,2212,Row_Middle,2940,3,4,3,0,1,0,R1,Y,RM,M,12,1890,42.34509,-71.07545
500936000,2500000,0,2275,Row_Middle,3540,3,4,2,2,2,3,R2,Y,RM,M,8,1899,42.34596,-71.07224
500871000,2400000,0,1935,Row_Middle,2480,3,3,2,1,1,1,R1,Y,RM,M,7,1890,42.34572,-71.07128
305883000,2320000,0,1636,Row_End,2802,2,3,2,2,1,2,R1,Y,RE,G,9,1899,42.34359,-71.069
500216000,2300000,0,2253,Row_End,2664,2.5,3,2,1,1,5,R1,Y,RE,G,7,1899,42.34875,-71.06788
401582000,2225000,846.01,2630,Row_Middle,3060,3,3,3,0,1,3,R1,N,RM,F,10,1883,42.34266,-71.08738
1901799000,2209000,547.32,4036,Victorian,5948,3,5,4,0,2,2,R1,Y,VT,M,14,1878,42.31129,-71.11742
306980000,2170000,871.14,2491,Row_End,2708,3,4,2,1,1,2,R1,Y,RE,M,8,1890,42.3414,-71.07082
500872000,2160000,0,1935,Row_Middle,2480,3,3,2,1,1,0,R1,Y,RM,M,10,1875,42.3457,-71.07134
1902425000,2100000,429.8,4886,Colonial,9683,2,3,4,1,1,4,R1,Y,CL,G,11,1930,42.31105,-71.12381
501590010,2045000,0,2064,Row_Middle,2184,4,3,3,0,1,3,R1,N,RM,F,8,1890,42.35764,-71.06825
306983000,2000000,802.89,2491,Row_End,2708,3,5,1,1,1,1,R1,Y,RE,M,8,1890,42.341496,-71.07067
401590000,2000000,737.19,2884,Row_Middle,2968,3,5,3,0,1,2,R1,Y,RM,F,8,1880,42.34241,-71.08715
203727000,2000000,668.45,2992,Semi_Det,3740,4,4,3,1,2,3,R2,Y,SD,M,10,1882,42.3723,-71.0635
305877000,1960000,0,1604,Row_Middle,2304,2.5,3,2,1,1,2,R1,Y,RM,G,7,1890,42.34336,-71.06929
502058000,1900000,860.51,2112,Row_End,2640,4,4,2,2,1,1,R1,N,RE,G,9,1899,42.360182,-71.069908
203129000,1875000,651.49,2878,Row_Middle,3790,3,3,3,0,1,4,R1,Y,RM,F,10,1850,42.37685,-71.06213
203777000,1865000,800.43,2330,Row_End,3118,3,3,3,1,1,0,R1,Y,RE,F,8,1870,42.373465,-71.063533
