geoid,state,DesignatedOZ,county,Type,Population,medhhincome,PovertyRate,unemprate,medvalue,medrent,severerentburden,vacancyrate,pctwhite,pctBlack,pctHispanic,pctunder18,pctover64,HSorlower,BAorhigher,CBSAType
25001010100,Massachusetts,1.0,Barnstable County,Low-Income Community,2962,42228.0,0.1324077248573303,0.089255258,490400.0,1064.0,0.4257095158100128,0.600177526,0.8457123637199402,0.029709655791521,0.055367995,0.064483456,0.2964213490486145,0.2561065852642059,0.4970392286777496,Metro
25001010206,Massachusetts,,Barnstable County,Low-Income Community,3168,48452.0,0.065714285,0.1160092800855636,485300.0,918.0,0.527999997,0.6526573300361633,0.9251893758773804,0.0246212128549814,0.003156566,0.1262626200914383,0.3800505101680755,0.2403071075677871,0.5424184203147888,Metro
25001010208,Massachusetts,,Barnstable County,Low-Income Community,1589,62051.0,0.1082441806793212,0.04587156,540500.0,931.0,0.1357142925262451,0.7499237656593323,0.9647576808929444,0.006922593,0.018879799,0.1038388907909393,0.3486469388008117,0.2576452493667602,0.538226306,Metro
25001010304,Massachusetts,,Barnstable County,Not Eligible,2107,61138.0,0.0432276657060518,0.070907195,480500.0,980.0,0.2549019607843137,0.6005154639175257,0.9724727100142384,0.0,0.0109159943046986,0.083531087,0.4361651637399146,0.2049689440993788,0.5217391304347826,Metro
25001010306,Massachusetts,,Barnstable County,Low-Income Community,2817,55455.0,0.068867587,0.094109192,422300.0,1081.0,0.1878787875175476,0.5991535782814026,0.9169328808784484,0.0252041183412075,0.0188143420964479,0.1185658499598503,0.30209443,0.2895204126834869,0.4671403169631958,Metro
25001010400,Massachusetts,,Barnstable County,Non-LIC Contiguous,3081,46741.0,0.0557939931750297,0.042341221,465700.0,1091.0,0.4089775681495666,0.386050284,0.9178838133811952,0.051282052,0.0253164563328027,0.1025641039013862,0.3300876319408417,0.2232522219419479,0.4712243974208832,Metro
25001010500,Massachusetts,,Barnstable County,Not Eligible,2766,68508.0,0.098698482,0.0215759849906191,767500.0,412.0,0.3684210526315789,0.5322302654257153,0.9779464931308748,0.002892263,0.0108459869848156,0.135936370209689,0.447939262,0.166079295,0.6220264317180617,Metro
25001010600,Massachusetts,,Barnstable County,Not Eligible,3238,66852.0,0.11003861003861,0.074257426,602600.0,897.0,0.3430232558139535,0.4884052800570817,0.8730697961704756,0.0555898702903026,0.061148857,0.1176652254478072,0.4169240271772699,0.2002319288751449,0.5411673753382296,Metro
25001010700,Massachusetts,,Barnstable County,Not Eligible,2904,64375.0,0.1444367657221838,0.055959302,556300.0,1282.0,0.4232558139534884,0.686062881,0.9452479338842976,0.022038567,0.002410468,0.1608126721763085,0.3560606060606061,0.2573749465583583,0.4869602394185549,Metro
25001010800,Massachusetts,,Barnstable County,Non-LIC Contiguous,4860,76768.0,0.059050065,0.071053691,452900.0,872.0,0.0,0.4032213985919952,0.97798353433609,0.006584362,0.004115226,0.1393004059791565,0.3024691343307495,0.1804320216178894,0.5969504714012146,Metro
25001010900,Massachusetts,,Barnstable County,Low-Income Community,5019,65231.0,0.03888889,0.0248075276613235,397400.0,1129.0,0.1129032224416732,0.4823238551616668,0.9374377131462096,0.0117553295567631,0.0276947598904371,0.1948595345020294,0.2827256321907043,0.2665955722332001,0.4265529215335846,Metro
25001011002,Massachusetts,,Barnstable County,Non-LIC Contiguous,4192,60044.0,0.063745022,0.06291391,384000.0,1005.0,0.2592592537403106,0.4928089082241058,0.9608778357505798,0.003339695,0.020753818,0.1853530555963516,0.2805343568325043,0.2851200103759765,0.3804799914360046,Metro
25001011100,Massachusetts,,Barnstable County,Not Eligible,4525,79766.0,0.054585635,0.043103448,382200.0,1135.0,0.0,0.3134377038486627,0.9425414364640884,0.002872928,0.017016575,0.1569060773480663,0.2917127071823204,0.2545300113250283,0.4382785956964892,Metro
25001011200,Massachusetts,,Barnstable County,Not Eligible,3450,68617.0,0.1092783505154639,0.054341037,353900.0,1000.0,0.1782608695652174,0.5492455418381345,0.9205797101449276,0.047246377,0.0171014492753623,0.1188405797101449,0.3492753623188406,0.234540798,0.5301866081229418,Metro
25001011300,Massachusetts,,Barnstable County,Not Eligible,2804,69148.0,0.05171184,0.083333333,543500.0,1184.0,0.3305084745762712,0.5487632508833922,0.9190442225392296,0.0,0.048858773,0.092724679,0.4450784593437946,0.257864238,0.4975165562913907,Metro
25001011400,Massachusetts,,Barnstable County,Not Eligible,3148,61108.0,0.1377990430622009,0.0601443464314354,423500.0,1223.0,0.3238095238095238,0.4533614924322421,0.963151207,0.0,0.036848792884371,0.098792884,0.4825285895806862,0.2334718549301095,0.4174537211938043,Metro
25001011500,Massachusetts,,Barnstable County,Non-LIC Contiguous,3912,49335.0,0.1137026250362396,0.1003460213541984,286100.0,885.0,0.2167300432920456,0.3619568943977356,0.8959611654281616,0.0593047030270099,0.002811861,0.125,0.3110940754413605,0.4128000140190124,0.2800000011920929,Metro
25001011600,Massachusetts,1.0,Barnstable County,Low-Income Community,2313,46813.0,0.078685686,0.068731114,314800.0,972.0,0.4282296597957611,0.7372485399246216,0.8417639136314392,0.072200604,0.058365759,0.1141374856233596,0.3004755675792694,0.389683336,0.3278855979442596,Metro
25001011700,Massachusetts,,Barnstable County,Non-LIC Contiguous,1890,60903.0,0.1158730164170265,0.078313254,413900.0,933.0,0.2898550629615783,0.6588447690010071,0.9285714030265808,0.002645503,0.043386243,0.09259259,0.3645502626895904,0.2654754221439361,0.4262922704219818,Metro
25001011801,Massachusetts,,Barnstable County,Not Eligible,2439,55507.0,0.048790488,0.0394456289978678,376400.0,865.0,0.1438356164383561,0.2027677496991576,0.912259122591226,0.0,0.008610086,0.067240672,0.5506355063550635,0.1696914700544464,0.5018148820326679,Metro
25001011802,Massachusetts,,Barnstable County,Non-LIC Contiguous,4028,65806.0,0.071251243,0.0402144789695739,334900.0,1428.0,0.1753246784210205,0.2521331012248993,0.9334657192230223,0.015392254,0.009433962,0.1785005033016204,0.3145481646060943,0.3095549643039703,0.4159031510353088,Metro
25001012001,Massachusetts,,Barnstable County,Low-Income Community,5767,53739.0,0.069032483,0.076072387,291200.0,1225.0,0.3235294222831726,0.2324044853448867,0.9741633534431458,0.001213803,0.002427605,0.1498179286718368,0.3100398778915405,0.3248159289360046,0.3012126386165619,Metro
25001012002,Massachusetts,1.0,Barnstable County,Low-Income Community,2743,44835.0,0.1713657975196838,0.1271596401929855,326900.0,929.0,0.086419754,0.567341685,0.8403208255767822,0.009843238,0.049216188,0.1618665754795074,0.2646737098693847,0.4453125,0.289550781,Metro
25001012101,Massachusetts,,Barnstable County,Non-LIC Contiguous,5585,67596.0,0.044412348,0.048221819,244200.0,1394.0,0.110629066824913,0.2763199508190155,0.872694731,0.0433303490281105,0.0275738593190908,0.1661593616008758,0.2132497727870941,0.396950215101242,0.259471059,Metro
25001012102,Massachusetts,,Barnstable County,Not Eligible,2986,65651.0,0.081044876,0.09608091,323900.0,1018.0,0.2740740740740741,0.5858585858585859,0.8660415271265908,0.031480241,0.0,0.1265907568653717,0.2726054922973878,0.2889069483949614,0.3709874034945144,Metro
25001012200,Massachusetts,,Barnstable County,Not Eligible,5016,87188.0,0.1372351160443995,0.037663986,516100.0,1383.0,0.240506329113924,0.2317164179104477,0.9659090909090908,0.009569378,0.009170654,0.1770334928229665,0.2745215311004784,0.1665336525671721,0.5227454110135674,Metro
25001012502,Massachusetts,,Barnstable County,Low-Income Community,3390,57042.0,0.1139088720083236,0.055310816,295300.0,1119.0,0.375565618276596,0.4370151460170746,0.7569321393966675,0.0581120960414409,0.1250737458467483,0.1156342178583145,0.2129793465137481,0.4037610590457916,0.360619456,Metro
25001012601,Massachusetts,,Barnstable County,Non-LIC Contiguous,3832,64000.0,0.1096688732504844,0.089963831,276900.0,1132.0,0.3734567761421203,0.085137084,0.7901878952980042,0.074895613,0.064718165,0.1829331964254379,0.1740605384111404,0.4557416141033172,0.1921850144863128,Metro
25001012602,Massachusetts,,Barnstable County,Low-Income Community,4278,37478.0,0.2508850693702698,0.081779055,197200.0,1259.0,0.3728590309619903,0.2768361568450928,0.6603553295135498,0.1778868585824966,0.079476394,0.2599345445632934,0.1166432946920394,0.6380728483200073,0.1308264732360839,Metro
25001012700,Massachusetts,,Barnstable County,Non-LIC Contiguous,3995,73646.0,0.018773466,0.036188733,360900.0,1254.0,0.072992697,0.4101281762123108,0.9839800000190736,0.0,0.004005006,0.1409261524677276,0.3081351816654205,0.2755322456359863,0.378586858510971,Metro
25001012800,Massachusetts,,Barnstable County,Low-Income Community,4051,64144.0,0.064099379,0.092788242,350900.0,1488.0,0.2103004306554794,0.202268436551094,0.9419896602630616,0.0,0.0,0.1821772456169128,0.2564798891544342,0.251144528388977,0.4257684648036957,Metro
25001012900,Massachusetts,,Barnstable County,Non-LIC Contiguous,3820,70404.0,0.0454784445464611,0.074369192,304100.0,1554.0,0.1512605100870132,0.1708074510097503,0.9591622948646544,0.0,0.02486911,0.1722513139247894,0.2293193787336349,0.3173673450946808,0.3704341948032379,Metro
25001013002,Massachusetts,,Barnstable County,Not Eligible,2987,68289.0,0.054435484,0.087903226,533300.0,1663.0,0.202020202020202,0.4826568265682657,0.9718781386006026,0.0103783059926347,0.0110478741211918,0.1104787412119183,0.4144626715768329,0.1952686447473937,0.5220529270248596,Metro
25001013100,Massachusetts,,Barnstable County,Not Eligible,5179,79659.0,0.065840434,0.037037037037037,328400.0,2083.0,0.1804878048780487,0.158675799,0.9391774473836648,0.0214327090171847,0.00231705,0.167213748,0.1648966982042865,0.2770994268626962,0.4191378021430351,Metro
25001013200,Massachusetts,,Barnstable County,Not Eligible,4882,70929.0,0.059401884,0.069982394,373700.0,1929.0,0.3757575757575757,0.2559109874826147,0.9416222859483818,0.008193363,0.034207292,0.1792298238426874,0.2480540761982794,0.2480495022867904,0.4912563895614743,Metro
25001013300,Massachusetts,,Barnstable County,Not Eligible,3285,68295.0,0.093410109,0.080191184,338400.0,962.0,0.2557377049180327,0.32,0.9257229832572298,0.0,0.026179604261796,0.1138508371385083,0.282800608828006,0.330278732,0.4196258113783887,Metro
25001013400,Massachusetts,,Barnstable County,Not Eligible,3848,87969.0,0.0447409733124018,0.071092525,491800.0,1589.0,0.054216867,0.3414322250639386,0.9566008316008316,0.0,0.0142931392931392,0.2066008316008316,0.2523388773388773,0.1856791856791856,0.5654615654615655,Metro
25001013500,Massachusetts,,Barnstable County,Not Eligible,6702,97689.0,0.042059572,0.074352332,340300.0,1556.0,0.069148936,0.1218457101658255,0.9670247687257536,0.00014920919128618324,0.008355715,0.2241122053118472,0.1741271262309758,0.2280988360220543,0.4802940575862773,Metro
25001013600,Massachusetts,,Barnstable County,Not Eligible,6657,93003.0,0.047287057,0.033889188,330300.0,1371.0,0.032183908,0.089759798,0.9508787742226228,0.0,0.033348355,0.2622803064443443,0.1161183716388763,0.2958382877526754,0.316052318668252,Metro
25001013700,Massachusetts,,Barnstable County,Not Eligible,4407,72031.0,0.085330073,0.061723281,292100.0,1120.0,0.1266055045871559,0.2132822477650063,0.9239845700022692,0.039028818,0.0152030859995461,0.1783526208304969,0.1756296800544588,0.4289348171701113,0.2972972972972973,Metro
25001013800,Massachusetts,,Barnstable County,Not Eligible,4951,73729.0,0.1399796541200406,0.068916519,350300.0,1174.0,0.080912863,0.1753246753246753,0.9161785497879216,0.0133306402746919,0.025449404,0.1858210462532821,0.1737022823671985,0.3023386869540715,0.3454494223724993,Metro
25001013900,Massachusetts,,Barnstable County,Not Eligible,5564,72344.0,0.090941769,0.0241427571728481,359700.0,1250.0,0.135693215339233,0.2511326860841424,0.9054636951833214,0.0203091301222142,0.0528396836808051,0.1835010783608914,0.2508986340762041,0.2919743968488429,0.4010339734121123,Metro
25001014002,Massachusetts,,Barnstable County,Not Eligible,4118,62543.0,0.069931774,0.0272479564032697,322200.0,1080.0,0.2769556025369979,0.3959311424100156,0.9184069936862554,0.0291403593977659,0.0354541039339485,0.1311316172899465,0.299174356,0.2950408035153798,0.3543628374136848,Metro
25001014100,Massachusetts,1.0,Barnstable County,Low-Income Community,756,44405.0,0.073275864,0.0,,1069.0,0.1506849378347396,0.4417475759983063,0.75,0.056878306,0.150793657,0.3756613731384277,0.005291005,0.2208121865987777,0.2918781638145447,Metro
25001014300,Massachusetts,,Barnstable County,Not Eligible,4175,86510.0,0.031540342,0.055009823,492300.0,1393.0,0.1818181818181818,0.5269021739130435,0.9405988023952097,0.00239521,0.0208383233532934,0.1554491017964072,0.3518562874251497,0.2335698858377044,0.562480716,Metro
25001014402,Massachusetts,,Barnstable County,Not Eligible,6937,84583.0,0.062965668,0.04809670781893,337400.0,1545.0,0.1063829787234042,0.2839470655926352,0.8608908750180193,0.0341646244774398,0.0377684878189419,0.201816347124117,0.1982124837826149,0.3577430972388956,0.3369347739095638,Metro
25001014500,Massachusetts,1.0,Barnstable County,Low-Income Community,5328,69236.0,0.1032282263040542,0.086823292,324600.0,1542.0,0.5319148898124695,0.3439531922340393,0.902402401,0.029842343,0.028903903,0.1745495498180389,0.1873123049736023,0.4545214176177978,0.2998413443565368,Metro
25001014600,Massachusetts,,Barnstable County,Non-LIC Contiguous,4166,64357.0,0.041234627,0.091339327,334600.0,1215.0,0.3564356565475464,0.2806236147880554,0.7976475954055786,0.070811331,0.0156024964526295,0.1663466095924377,0.3026884198188782,0.3583051860332489,0.3693583011627197,Metro
25001014700,Massachusetts,,Barnstable County,Not Eligible,3653,61875.0,0.062447728,0.053694843,333500.0,1285.0,0.2481203007518796,0.4598746081504702,0.8661374212975637,0.0306597317273473,0.035860936,0.1634273200109499,0.3180947166712291,0.3032616238723108,0.4077029840388619,Metro
