"Reporting ID","Data Year","MapLot","Compliance Status","BEUDO Category","BEUDO Property Type","PD Parcel Living Area","PD Parcel Units","Address","Year Built","Buildings Included","Buildings Included Count","Primary Property Type - Self Selected","All Property Uses","Property GFA - Self Reported (ft2)","Reported Residential Units","Owner","Owner Line 2","ENERGY STAR Score","Electricity Use - Grid Purchase (kWh)","Electricity Use - Grid Purchase (kBtu)","Natural Gas Use (therms)","Natural Gas Use (kBtu)","Fuel Oil #1 Use (kBtu)","Fuel Oil #2 Use (kBtu)","Fuel Oil #4 Use (kBtu)","Fuel Oil #5 & 6 Use (kBtu)","Diesel #2 Use (kBtu)","Kerosene Use (kBtu)","District Chilled Water Use (kBtu)","District Steam Use (kBtu)","Electricity Use - Generated From Onsite Renewable Systems (kWh)","Site Energy Use (kBtu)","Weather Normalized Site Energy Use (kBtu)","Site EUI (kBtu/ft2)","Weather Normalized Site EUI (kBtu/ft2)","Source Energy Use (kBtu)","Weather Normalized Source Energy Use (kBtu)","Source EUI (kBtu/ft2)","Weather Normalized Source EUI (kBtu/ft2)","Total GHG Emissions (Metric Tons CO2e)","Water Use (All Water Sources) (kgal)","Water Intensity (All Water Sources) (gal/ft2)","Grid Electricity Emissions Factor (Metric Tons CO2e per Million Btus)","Grid Electricity Emissions (Metric Tons CO2e)","Natural Gas Emissions Factor (Metric Tons CO2e per Million Btus)","Natural Gas Emissions (Metric Tons CO2e)","Fuel Oil #1 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #1 Emissions (Metric Tons CO2e)","Fuel Oil #2 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #2 Emissions (Metric Tons CO2e)","Fuel Oil #4 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #4 Emissions (Metric Tons CO2e)","Fuel Oil #5 or #6 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #5 or #6 Emissions (Metric Tons CO2e)","Diesel Emissions Factor (Metric Tons CO2e per Million Btus)","Diesel Emissions (Metric Tons CO2e)","Kerosene Emissions Factor (Metric Tons CO2e per Million Btus)","Kerosene Emissions (Metric Tons CO2e)","District Steam Emissions Factor (Metric Tons CO2e per Million Btus)","District Steam Emissions (Metric Tons CO2e)","District Chilled Water Emissions Factor (Metric Tons CO2e per Million Btus)","District Chilled Water Emissions (Metric Tons CO2e)","Latitude","Longitude","Coordinates"
"B1300","2018","144-1","Compliant","Non-Residential","Technology/Science","2,402,868","15","20 Oxford St","1963","241-47","1","Laboratory","Laboratory (47237.0)","47,237",,"PRESIDENT & FELLOWS OF HARVARD COLLEGE",,,"1,638,687.5","5,591,201.6","12,325.6","1,232,558.8",,,,,,,"780,378.9","4,640,284.6",,"12,244,423.9","12,257,373.5","259.2","259.5","23,242,149.2","23,256,746.7","492","492.3","810.5325",,,"0.0701","392.12","0.0531","65.4671","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","308.1079","0.0575","44.8375","42.378","-71.1159","POINT (-71.1159145032189 42.3779822915146)"
"B1067","2023","157-62","Compliant","Non-Residential","College/University","43,112",,"33 EVERETT ST","1970","243-24","1","Residence Hall/Dormitory","College/University (31990.0)","31,990",,"LESLEY COLLEGE",,,"287,965.3","982,537.8","28,030","2,802,996",,,,,,,,,,"3,785,533.7","4,079,146","118.3","127.5","5,694,251.5","6,002,544.4","178","187.6","219.8261","1,196.1","37.39","0.0722","70.9464","0.0531","148.8797","0.0735","0","0.0742","0","0.0753","0","0.0743","0","0.0752","0","0.0754","0","0.0664","0","0.0575","0","42.38","-71.1168","POINT (-71.1168199797315 42.3800132964342)"
"B1488","2020","52A-21","Non-Compliant","Non-Residential","College/University","3,691,096","0","50 VASSAR ST","1973","668-38","1","College/University","College/University (84329.0)","84,329",,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",,,"2,265,828","7,731,005",,,,,,,,,"16,564,583.8",,,,,,,,,,,"1,499.4877","686.7","8.14","0.0709","547.753","0.0531","0","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","951.7347","42.3611","-71.0923","POINT (-71.0923492175395 42.3610715331262)"
"B1893","2019","197-4","Compliant","Municipal","Education","145,715","0","70 Rindge Avenue","1999","73-1","1","K-12 School","K-12 School (108989.0)","108,989",,"CAMBRIDGE CITY OF","SCHOOL DEPT","63","761,503.3","2,598,249.2","52,842.7","5,284,266.7",,,,,,,,,,"7,882,515.9","7,689,210.8","72.3","70.6","12,823,577.7","12,600,907.2","117.7","115.6","451.2402","737.7","6.77","0.0656","170.5674","0.0531","280.6728","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3921","-71.1283","POINT (-71.1283005600348 42.3920772086087)"
"B1425","2020","69-179","Compliant","Non-Residential","Technology/Science","211,912","1","35 Landsdowne Street","2002","687-2","1","Laboratory","Office (60727.0),Laboratory (141696.0)","202,423",,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","OFFICE OF THE TREASURER",,"17,984,411.3","61,362,811.5","197,271.3","19,727,126",,,,,,,,,,"81,089,937.6","80,629,747.9","400.6","398.3","192,529,354.6","191,240,823.7","951.1","944.8","5,395.447","10,937.4","54.03","0.0709","4,347.6446","0.0531","1,047.8024","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3611","-71.1","POINT (-71.1000249018043 42.3611162044777)"
"B1048","2021","85-1, 85-63","Compliant","Municipal","Other","12,000","1","300 Norfolk Street","1979","381-10, 381-15","2","Parking","Office (9520.0),Parking (47152.0)","56,672",,"CAMBRIDGE CITY OF","PUBLIC WORKS DEPT",,"202,668.3","691,504.3","26,872.3","2,687,230.2",,,,,,,,,,"3,378,734.5","3,598,402","354.9","378","4,757,803.7","4,988,454.6","499.8","524","192.7379","156.4","16.43","0.0723","50.0062","0.0531","142.7317","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3719","-71.0974","POINT (-71.0974405954733 42.3718571475336)"
"B1862","2015","119-94","Compliant","Non-Residential","Municipal","43,544","0","770 MASSACHUSETTS AVE","1932","575-4","1","Mailing Center/Post Office","Mailing Center/Post Office (56000.0)","56,000",,"UNITED STATES OF AMERICA","770 MASS AVE",,,,,,,,,,,,,,,,,,,,,,,"0",,,"0.0767","0","0.0531","0","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3663","-71.106","POINT (-71.1060464390807 42.3663375222358)"
"B1519","2017","121-114","Non-Compliant","Residential","Other","87,557","72","613-619 Green Street",,"489-19","1",,,,,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",,,,,,,,,,,,,,,,,,,,,,,,"0",,,"0.0749","0","0.0531","0","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3689","-71.1117","POINT (-71.1116891018412 42.3688629714814)"
"B1002","2023","92-119","Compliant","Residential","Residential","245,314","142","129 Franklin Street","2001","652-1","1","Multifamily Housing","Multifamily Housing (243166.0)","243,166","142","FOREST CITY ENTERPRISES, INC.",,"97","935,160","3,190,765.9","58,962","5,896,200",,,,,,,,,,"9,086,965.9","9,704,549.1","37.4","39.9","15,125,154.5","15,773,616.9","62.2","64.9","543.5702","6,910","28.42","0.0722","230.3965","0.0531","313.1737","0.0735","0","0.0742","0","0.0753","0","0.0743","0","0.0752","0","0.0754","0","0.0664","0","0.0575","0","42.3628","-71.1015","POINT (-71.1014623926982 42.3627679399652)"
"B1766","2023","66-153","Compliant","Non-Residential","Technology/Science","292,358",,"40 Erie Street","1996","725-4","1","Laboratory","Laboratory (100854.0)","100,854",,"BMR-200 SIDNEY STREET LLC,",,,"3,958,200","13,505,378.4","144,400.3","14,440,032.4",,,,,,,,,,"27,945,410.8","29,312,161.6","277.1","290.6","52,977,093.6","54,645,917.4","525.3","541.8","1,742.1615","3,168.5","31.42","0.0722","975.1864","0.0531","766.9751","0.0735","0","0.0742","0","0.0753","0","0.0743","0","0.0752","0","0.0754","0","0.0664","0","0.0575","0","42.3571","-71.1048","POINT (-71.1047918977603 42.3570781700659)"
